file_urls,files,model,vendor,version
"https://static.tp-link.com/upload/firmware/2022/202202/20220207/Archer C7(EU)_V5_211210.zip,https://static.tp-link.com/upload/firmware/2021/202110/20211029/Archer C7(US)_V5_211022.zip,https://static.tp-link.com/upload/firmware/2021/202108/20210820/Archer C7(US)_V5_210519.zip",,Archer C7 ,TP-Link,V5
file_urls,files,model,vendor,version
"https://static.tp-link.com/upload/firmware/2022/202202/20220207/Archer C7(EU)_V5_211210.zip,https://static.tp-link.com/upload/firmware/2021/202110/20211029/Archer C7(US)_V5_211022.zip,https://static.tp-link.com/upload/firmware/2021/202108/20210820/Archer C7(US)_V5_210519.zip",,Archer C7 ,TP-Link,V5
