model,price,reviews,url,vendor
TL-R470T,"R$ 234,00",810,https://www.buscape.com.br/modem-e-roteador/roteador-tl-r470t-tp-link,TP-Link
RE163,"R$ 89,20",690,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-300-mbps-re163-multilaser,Multilaser
TL-WR840N V2,"R$ 79,90",655,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-300-mbps-tl-wr840n-tp-link,TP-Link
EAP115,"R$ 164,59",643,https://www.buscape.com.br/modem-e-roteador/access-point-300-mbps-tp-link-eap115,TP-Link
"Conjunto Roteador Intelbras Twibi Giga, Mesh AC 1200, 2 Unidades,  - 4750069","R$ 578,90",608,https://www.buscape.com.br/modem-e-roteador/conjunto-roteador-intelbras-twibi-giga-mesh-ac-1200-2-unidades-4750069,
IWE3001,"R$ 189,00",608,https://www.buscape.com.br/modem-e-roteador/repetidor-access-point-300-mbps-intelbras-iwe3001,Intelbras
TL-WR941HP,"R$ 310,66",502,https://www.buscape.com.br/modem-e-roteador/roteador-450-mbps-tp-link-tl-wr941hp,TP-Link
"ROTEADOR WIR GIGABIT DB 2.4/5GHZ AC1900 MR50G, MERCUSYS","R$ 233,00",486,https://www.buscape.com.br/modem-e-roteador/roteador-wir-gigabit-db-2-4-5ghz-ac1900-mr50g-mercusys,
TL-WR829N,"R$ 69,90",419,https://www.buscape.com.br/modem-e-roteador/roteador-300-mbps-tp-link-tl-wr829n-2-4ghz,TP-Link
TL-WR820N,"R$ 102,56",364,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-300-mbps-tp-link-tl-wr820n,TP-Link
Ponto de Acesso Ubiquiti UniFi Indoor - UAP-AC-IW,"R$ 1.235,28",360,https://www.buscape.com.br/modem-e-roteador/ponto-de-acesso-ubiquiti-unifi-indoor-uap-ac-iw,
ROTEADOR VPN MULTI-WAN GIGABIT SAFESTREAM TL-R605 SMB,"R$ 498,96",356,https://www.buscape.com.br/modem-e-roteador/roteador-vpn-multi-wan-gigabit-safestream-tl-r605-smb,
Repetidor De Sinal Tp-link Ac750 Dual Band 750mbps - Re200,"R$ 159,99",353,https://www.buscape.com.br/modem-e-roteador/repetidor-de-sinal-tp-link-ac750-dual-band-750mbps-re200,
IWR 3000N,"R$ 117,49",327,https://www.buscape.com.br/modem-e-roteador/roteador-300-mbps-intelbras-iwr-3000n,Intelbras
CONJUNTO ROTEADOR MESH TWIBI FAST C/2 4750071,"R$ 349,99",308,https://www.buscape.com.br/modem-e-roteador/conjunto-roteador-mesh-twibi-fast-c-2-4750071,
ROTEADOR MESH TWIBI FAST AC1200 DUAL BAND UNIDADE 4750070,"R$ 215,67",291,https://www.buscape.com.br/modem-e-roteador/roteador-mesh-twibi-fast-ac1200-dual-band-unidade-4750070,
Kit 3 Roteadores Gigabit Wifi TP-Link Rede Mesh AC1200 Mbps Dual Band 2.4Ghz e 5.0Ghz 3 em 1 DECO M4,"R$ 1.049,99",284,https://www.buscape.com.br/modem-e-roteador/kit-3-roteadores-gigabit-wifi-tp-link-rede-mesh-ac1200-mbps-dual-band-2-4ghz-e-5-0ghz-3-em-1-deco-m4,
MW3,"R$ 529,00",260,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-300-mbps-867-tenda-mw3,Tenda
ROT WIFI GIGA AC2100MBPS 7ANT TENDA AC23,"R$ 347,16",207,https://www.buscape.com.br/modem-e-roteador/rot-wifi-giga-ac2100mbps-7ant-tenda-ac23,
Roteador Tp-link Archer C58hp Router Ac1350 Wifi Dual Band 450Mbps + 867Mbps,"R$ 599,00",184,https://www.buscape.com.br/modem-e-roteador/roteador-tp-link-archer-c58hp-router-ac1350-wifi-dual-band-450mbps-867mbps,
DIR-878,"R$ 1.016,99",177,https://www.buscape.com.br/modem-e-roteador/roteador-1300-mbps-d-link-dir-878,D-Link
DAP-1325,"R$ 125,00",175,https://www.buscape.com.br/modem-e-roteador/repetidor-access-point-300-mbps-d-link,D-Link
ROTEADOR WIRELESS RF 301K 300MBPS - NACIONAL,"R$ 75,99",170,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-rf-301k-300mbps-nacional,
AP 310,"R$ 278,87",169,https://www.buscape.com.br/modem-e-roteador/access-point-300-mbps-intelbras-ap-310,Intelbras
ROTEADOR WIRELESS N 300MBPS HIGH POWER MW330HP MERCUSYS,"R$ 114,99",145,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-n-300mbps-high-power-mw330hp-mercusys,
Repetidor De Sinal Wi-fi 300mbps Amplificador Wireless,"R$ 65,60",121,https://www.buscape.com.br/modem-e-roteador/repetidor-de-sinal-wi-fi-300mbps-amplificador-wireless,
TL-WR849N,"R$ 97,79",121,https://www.buscape.com.br/modem-e-roteador/roteador-300-mbps-tp-link-tl-wr849n,TP-Link
Roteador Wireless EXO McAfee AC 1300Mbps com sistema MESH e comandos de voz Google/Alexa + FOTA,"R$ 499,00",106,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-exo-mcafee-ac-1300mbps-com-sistema-mesh-e-comandos-de-voz-google-alexa-fota,
Deco X60,"R$ 979,00",104,https://www.buscape.com.br/modem-e-roteador/tp-link-deco-x60-whole-home-mesh-wi-fi-6-ax3000-dual-3pack,TP-Link
RT-AC59U,"R$ 289,90",102,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-600-mbps-867-asus,Asus
Amplificador De Sinal Wifi Router Repetidor 300m,"R$ 74,68",100,https://www.buscape.com.br/modem-e-roteador/amplificador-de-sinal-wifi-router-repetidor-300m,
Archer C5,"R$ 349,66",95,https://www.buscape.com.br/modem-e-roteador/roteador-1200-mbps-archer-c5-tp-link,TP-Link
RE056,"R$ 88,07",91,https://www.buscape.com.br/modem-e-roteador/repetidor-300-mbps-multilaser-re056,Multilaser
Sirius AC2600 RE016,"R$ 289,00",82,https://www.buscape.com.br/modem-e-roteador/re016-roteador-multilaser-gigabit-ac2600-8-antenas,Multilaser
Unifi Uap-Ac Lr,"R$ 1.158,03",81,https://www.buscape.com.br/modem-e-roteador/access-point-867-mbps-ubiquiti-unifi-uap-ac-lr,Ubiquiti
Roteador Mercusys Wireless Dual Band Ac1200 Ac10,"R$ 119,51",76,https://www.buscape.com.br/modem-e-roteador/roteador-mercusys-wireless-dual-band-ac1200-ac10,
Repetidor Amplificador de Sinal Wi-Fi 600mbps Wireless,"R$ 56,39",69,https://www.buscape.com.br/modem-e-roteador/repetidor-amplificador-de-sinal-wi-fi-600mbps-wireless,
TLWR841HP V3,"R$ 221,36",68,https://www.buscape.com.br/modem-e-roteador/roteador-300-mbps-tp-link-tlwr841hp-v3,TP-Link
Kit EASYMESH contendo 3 unidades COVR-1100 AC1200 Roteador e Repetidor Wi-Fi AC Dualband,"R$ 747,40",60,https://www.buscape.com.br/modem-e-roteador/kit-easymesh-contendo-3-unidades-covr-1100-ac1200-roteador-e-repetidor-wi-fi-ac-dualband,
Access Point Indoor Ubiquiti Networks Unifi Ac Lite UAP-AC-Lite,"R$ 650,23",41,https://www.buscape.com.br/modem-e-roteador/access-point-indoor-ubiquiti-networks-unifi-ac-lite-uap-ac-lite,
Roteador Wireless AC 1300Mbps HIGH-POWER WAN/LAN Gigabit-Ethernet 802.11AC,"R$ 251,90",23,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-ac-1300mbps-high-power-wan-lan-gigabit-ethernet-802-11ac,
MW325R,"R$ 99,52",22,https://www.buscape.com.br/modem-e-roteador/roteador-300-mbps-mercusys-mw325r,Mercusys
