model,price,reviews,sells,url,vendor
GF 1200,199.99,(175),4018,https://www.mercadolivre.com.br/roteador-intelbras-gf-1200-preto-100v240v/p/MLB15845426?pdp_filters=category:MLB5867,Intelbras
EXO,478,(69),1193,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-roteador-d-link-exo-dir-3040-preto-100v240v/p/MLB19034976?pdp_filters=category:MLB5867,D-Link
Archer,375.10,(239),5671,https://produto.mercadolivre.com.br/MLB-1826641231-roteador-tp-link-wireless-gigabit-archer-c6-garantia-5-anos-_JM,TP-Link
DR4,77.80,(266),6193,https://produto.mercadolivre.com.br/MLB-1135305422-repetidor-expansor-de-sinal-wifi-roteador-t25-expansor-300m-_JM,Haiz
ACtion,319.99,(2204),44393,https://www.mercadolivre.com.br/roteador-repetidor-access-point-intelbras-action-rg-1200-preto-100v240v/p/MLB15344291?pdp_filters=category:MLB5867,Intelbras
Deco E4,819,(449),3183,https://www.mercadolivre.com.br/access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-e4-branco-100v240v-3-unidades/p/MLB16014891?pdp_filters=category:MLB5867,TP-Link
AW77,198.10,(14),284,https://produto.mercadolivre.com.br/MLB-2751931119-repetidor-wireless-5ghz-amplificador-roteador-wifi-potente-5-_JM,Altom Premium
Twibi Fast,217.90,(339),7190,https://www.mercadolivre.com.br/roteador-sistema-wi-fi-mesh-intelbras-twibi-fast-4750070-branco-100v240v/p/MLB15392880?pdp_filters=category:MLB5867,Intelbras
Deco M5,929,(1235),3852,https://www.mercadolivre.com.br/access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-m5-branco-100v240v-2-unidades/p/MLB17331206?pdp_filters=category:MLB5867,TP-Link
TL-R470T+,229,(423),5083,https://www.mercadolivre.com.br/roteador-tp-link-tl-r470t-preto-110v220v/p/MLB7868092?pdp_filters=category:MLB5867,TP-Link
