model,price,reviews,sells,url,vendor
Kit Twibi Giga+,554.90,377,9241,https://www.mercadolivre.com.br/roteador-sistema-wi-fi-mesh-intelbras-kit-twibi-giga-branco-100v240v-2-unidades/p/MLB17853474?pdp_filters=category:MLB5867,Intelbras
,309,21,877,https://produto.mercadolivre.com.br/MLB-2077671775-roteador-wireless-mu-mimo-ac1200-archer-c6-tp-link-_JM,
TL-WR940N,128,349,4972,https://www.mercadolivre.com.br/roteador-access-point-range-extender-tp-link-tl-wr940n-v6-preto-220v/p/MLB15281775?pdp_filters=category:MLB5867,TP-Link
UniFi,710,559,31232,https://www.mercadolivre.com.br/access-point-indoor-wmm-ubiquiti-unifi-ac-lite-ap-uap-ac-lite-branco-220v/p/MLB6186905?pdp_filters=category:MLB5867,Ubiquiti
Digi-Health,124.02,"4,442",81559,https://www.mercadolivre.com.br/balanca-corporal-digital-multilaser-digi-health-preta-ate-180-kg/p/MLB15276123?pdp_filters=category:MLB5867,Multilaser
,77.80,244,5362,https://produto.mercadolivre.com.br/MLB-1135305422-repetidor-expansor-de-sinal-wifi-roteador-t25-expansor-300m-_JM,
TL-WA855RE,148,"1,776",17968,https://www.mercadolivre.com.br/access-point-repetidor-tp-link-tl-wa855re-branco/p/MLB6235084?pdp_filters=category:MLB5867,TP-Link
,56.32,8,537,https://produto.mercadolivre.com.br/MLB-1883583441-roteador-repetidor-wireless-n-sinal-wifi-repeater-300mbps-_JM,
TL-WR840N,97,"2,462",63409,https://www.mercadolivre.com.br/roteador-tp-link-tl-wr840n-branco/p/MLB15314118?pdp_filters=category:MLB5867,TP-Link
Omada,200,43,1907,https://www.mercadolivre.com.br/access-point-indoor-tp-link-omada-eap110-branco/p/MLB15354537?pdp_filters=category:MLB5867,TP-Link
Archer,255,687,15140,https://www.mercadolivre.com.br/roteador-wds-bridge-tp-link-archer-c5-w-v4-branco/p/MLB15386549?pdp_filters=category:MLB5867,TP-Link
